,r,nmse_test,expression,directory
190,0.9724832897553785,0.0008006242241504,[-0.0001378826654172247 + 121.25891408679233/(x1*(x1 + 23734.913411046682*((0.080566238394322775*x1 - 1/(sin(99.64858491002065 - 140.30575353964872/x1**2) + 7.4402637548271695))**2 + 0.040171393271537578)**2))],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
130,0.9724842098945172,0.0008005691654837,[0.043075557340247386/(x1 + 163667.98846479813*(-0.0013109953467891852*x1 + (0.062711963948657593*x1 - 0.51675471096357026 + 1/x1)**2 + 0.0071162593941153968)**2 - 4.5355247254491025)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-27-173003
85,0.9724847758661076,0.0008005353002487,[(0.13176240932415592 - (4.891336917322377*lj(x1)*cos(-0.2942309038241378*x1 + 0.49193493613068896*(1 - 0.77337532187562566*x1)**2 + 4.1394076702686778)**2 - 2.467010485567993)/x1)**6],log/.._dso_data_lj_hnc_greater_fourth_2022-05-02-160641
101,0.9724886330872844,0.0008003045213303,[1999519330.5637961*(-x1/(x1**4 + 465.6588971815274) + 0.0087415328289607094)**4/(x1 + 424.70304193000888*((1 - 0.26736372408471394*x1)**2 - 0.0030158383312685847)**2 - 3.0049094738675994)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-28-201044
113,0.9724892966169064,0.0008002648256547,[59.349808172341799*x1**4*(0.043230561033871157*cos(lj(x1) - 16.612800339023586 + 74.58237912027003/x1) + 1)**4/((-0.25104136948375977*x1 - 1)**4 + 0.016423193928567456)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-27-163438
546,0.9724904768088404,0.0008001942232106,[-0.0005366275085855179 + 28.09911009880433*(-0.1031538855350857 + 1/(x1*(80322.97362929579*(-0.04635359297608636*x1 + 0.45005753805378861 - 1/x1)**3 - 3.320479138821895) + 8.159140293351998))**2/x1**2],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-125735
420,0.9724906193530674,0.0008001856960312,[0.603236520006059/(1 - 0.130559374156633*(x1 + (-25.37225063872297 + 66.9628210135954/x1)/(sin(8.391018524224624 - 25.37011357790791/x1)**3 + 6.1907265646674094))**3)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
466,0.9724906327669102,0.0008001848936003,[1.0575412903326709/(36.109872759690351*(0.32946088089708801*x1 - 0.32946088089708801*lj(x1) - 1)**3 + lj(x1) + cos(4.24725907798989*x1 - 16.420760527338479) + 2.7957280281579906)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
833,0.9724923722190696,0.0008000808412465,[0.02194581755162332/(x1*(-0.137291942209245*x1 - 0.01796058102090713*sin(7.493633503714779 + 72.27016975179207/x1) + 0.40448270094094397 - 1/x1)**4)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
713,0.9724929038892168,0.0008000490386743,[-0.4402968271817609/(x1**3*(-1 + 0.51915757048431993*(9.80150588276654 + (1.2431240615035001*cos(10.490129734146137 - 33.72617607346857/x1)**2 - 18.50023203980806)/x1)/x1)**3)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
13,0.9724947644435782,0.0007999377523376,[20.010018012551833*(0.05644579213586219*cos(x1 + 15.968519872306063 - 24.377623804849275/(x1 - 1.3688488757610302)) + 1)**3/(0.019519710118787495*x1**3 + 0.55806650915518862*x1 + 1)**3],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
876,0.9724978888521382,0.0007997508887823,[0.29270138365303753/(x1**2*(0.068258457565292435*x1 + (0.29293261267677204*x1 + 0.29293261267677204*sin(3.6615617255706616*x1 - 11.870569825549566) - 1)**2/x1)**2)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
819,0.9724990586251544,0.000799680933324,[0.00033968289317481658/(0.1106189641302715*x1 - 1 + 0.1106189641302715*(29.44176511840256 + (cos((11.339794657613497 - 1.5735721395573277*x1**2)/x1)**2 - 32.177812656502105)/x1)/x1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142629
755,0.9725005940783616,0.0007995891141418,[0.8885281822267223/(0.986986680681469*x1**2 + (x1 - 4.649187575632108)*(x1 - 4.648056893974868)*(8.228210518253183*sin(x1)**2 + 2.900749294037776) - 14.730264276651496)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
711,0.972501031966162,0.0007995629297328,[0.7819224132636892/(x1 - 0.22648688791107055 + 1558316.5797780185*(0.37843957544043739*x1 - 1)**3*(x1**3*(0.16545543449886073 - 1/x1)**3 + 0.033308295972049285)**3/x1)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-125735
668,0.9725012616815454,0.000799549193606,[0.017516487783056887/(54.14528254036911*(0.1359000723237006*x1 - 1)**2 + cos(x1) + 22.344810902789064 - (518.0906465990352*(0.04393363363581231*lj(x1) - 0.3949903490417169 + 1/x1)**2 + 119.88235347548891)/x1)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142431
122,0.972501882768547,0.0007995120555332,[2.7851390803128859e-30/((-3.9112004412661118e-5*x1 + (0.11695499256140305 + 0.28775801848732763/(x1 + 144819.5626111111*(-0.3056394107771843 + 1/x1)**4) - 1/x1)**4)**2 + 4.6732509762701954e-8)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-12-134849
161,0.9725030363526994,0.0007994430790574,[19.362782948986787/(1.1066491196868196*(0.97498405729773856*x1 + 0.21580171879351776*sin(7.9002192271210611*(0.35577909703392404*x1 - 1)**2/(0.7808153366379793 - 0.2563921871035193*x1)) - 1)**4 + 4.498058260426069)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
82,0.9725042111218536,0.000799372839089,[0.054974270945111/(x1 + 546.39296832744429*(0.042780656925638161*x1*(-x1 + 12.139820847011608 - 15.591757863036145/(x1 + 0.5974558594380708 + 426.9570648465321/x1**4)) - 1)**2 - 4.3339338117739565)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-174015
751,0.9725057311664046,0.0007992819597828,[0.9144064013755637/(24.61785647573292*(0.343755710581345*x1 - 1)**3 + 1.704499310645204*cos(11.478672675771527 - (55.94792666249197 - 45.437548894054714/x1)/x1)**2 + 1.5477724190494306)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142401
271,0.9725061415426234,0.0007992574254455,[5.8299323539989092*(0.0055838951936543985 + 1/(x1 + 37.68680296919239*(-0.28833648597817338*x1 + 1 + 0.28833648597817338*cos(2.7038037245550046*x1)/x1)**2/(cos(x1) + 1.4016041179721108)))**2],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
305,0.9725066363596182,0.0007992278433457,[64.32276602292008*x1/(-x1 + 744.4319870838203*(0.110337970471737*x1*(x1 + 0.1575668870253426*cos(12.95885894333865 - 72.39442917640599/x1) - 3.646710186226095) + 1)**3 - 5.974972412661184)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
660,0.9725094723689822,0.000799058306729,[1956022242367.6017*(0.00032495593015450062*x1 - 0.028203584345148505 - 1/(-x1 - 23.865879889827557))**6/(-0.07268030827036861*x1 - 0.0363401541351843*sin(15.300493367198062 - 75.22439399461744/x1) - 1)**6],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
307,0.97251136129548,0.0007989453972448,[3.6599205310351533*(0.04298338934895288*sin(x1*(x1**2 - 36.95247650087986)/(x1**2 - 2.4761560604869293) + 5.890112364653744) + 1)**4/(0.063322896178777508*x1**2 + 1)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
85,0.9725113639292562,0.0007989452398182,[sin(1.176470859841286/(x1 + 43155.34955385216*(0.13865860081982762 - (1 - 0.1656833325728618*x1)**2)**4 + 292.5606712134828*(0.2326996305282071*x1 - 1)**3 + 1.5881295235153339))],log/.._dso_data_lj_hnc_greater_fourth_2022-04-27-163306
177,0.9725120916684842,0.000798901741879,[-0.04018086292096735*tan(2.5966552126465756/(33.64672222359355*(0.3097555375523996*x1 - 1)**3 + 1.9294328346864225) - 5.048511208180731/(1 + 0.197429021464955*(14.57113585562598*(0.40941982111368624*x1 - 1)**3 + 4.937868943570376)/x1)**2)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
736,0.9725129325978752,0.0007988514799694,[0.003202515993501113/(0.66831596936660335*(-0.23435792766108328*x1 + 0.064295288058282103*cos(6.6592386941157695 - 103.74241316974131/x1**2) + 1)**2 + 0.36269390686692902 - 1/x1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011430
15,0.9725129353074106,0.0007988513180245,[0.0032005499467631014/(0.66829828156414306*(-0.2343472820930818*x1 - 0.064258187282906891*cos(9.801197645860928 - 103.74583258176958/x1**2) + 1)**2 + 0.36265448675009564 - 1/x1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-05-02-160720
144,0.9725140689471872,0.0007987835636156,[0.46152670178897099*x1/(-(0.26277833336306239*x1 + 1/x1)**2 + 0.06905245248506875*cos(x1 + 15.027543798101743 - 59.12717273516353/x1))**4],log/.._dso_data_lj_hnc_greater_fourth_2022-05-02-160641
