,r,nmse_test,expression,directory
640,0.9899788772917604,0.0001024662643919,[(2.3947931157311775*x1 + cos(x1) - 4.472775750767641)*(x1*(1.8676141319512172 - x1) + x1*cos(x1)**8 + 4.853338272303516) - 7.430777617868834],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
904,0.9899795703512252,0.0001024519483285,[-26.403261206874535*(0.44114931270754734*(x1 - 0.0067581423097545805)**2/(3.247610688035639*x1 + 1.784887698895201) - 1)**4 + 2.089424021379286 + 0.07387832313494855/(cos(x1 + 0.08521657388278608) + 1.0239267612604304)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
226,0.9899817186574612,0.0001024075786931,[x1*(-x1 + 6.6108207103076399*(0.087896356034150138*x1**2*(14.735836918616259*(1 - 0.40788875372568248*x1)**3 + 2.0435888365249135) - 1)**3 + 9.347246246603408) + x1 - 24.41029293970526],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-17-000348
429,0.9899820709499996,0.0001024003036215,[-29.825901952239639*(1 - 0.19299512795499863*x1)**2 + 154.709950229002*(cos(x1)**2 - 0.16764624766377267)**4*(cos(x1 + 0.10217064864187192)**2 - 0.5824203165912024)**4 + 3.248968968086661],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
980,0.9899826811588902,0.000102387703032,[7.92858934734283*x1 - (x1*(0.80200900476346 - x1)*(x1*(0.004860999618825652*x1**4 - 1.1882120832881813) + 2.485551979316232) + 0.8972617452660848)**2 - 23.708323981851418],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
322,0.9899832484703984,0.0001023759889672,[0.37551360983287446*x1 + (-8.543688396940661 - 1.3705398332214958/(1.2829529399280222 - sin(2.313389047246964*x1 + 0.6212955090041995)))*(sin(x1 + 1.9808846002971676) - 0.5772471900492973) - 20.765700162501386],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-11-150408
172,0.9899838864058338,0.000102362817449,[3.6854965077136674*(0.72173206251317903*x1 - 1)**4 - 21.835149738249848*(-0.21753802325366502*x1*(x1 - sin(0.93741001195851331*x1 - 0.7555114203422675)) + 1)**4 - 6.3496312249958144],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-09-162319
44,0.9899858349276358,0.000102322591472,[(4.5428300162393457*tan(2.5534037494952152*(1 - 0.59048184578951461*x1)**2/((0.5471243165725685*x1 - 1)**2 + 0.6053193729492873)**2) - 45.337019121581793)/(x1**2 + 1.5740909652949746)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
694,0.9899860409046592,0.0001023183396803,[x1 - 32.559331454842122*(1 - 0.080165240345640513*x1)**4 + cos(0.6091108153683157*x1 - 2.2093308266021464*(1 - 0.72461761901017756*x1)**4 + 2.8103482874890107) + 7.012099102154001],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
580,0.9899869112737244,0.000102300374458,[-3.6667257658302162*cos(0.75844335097051139*(1 - 0.70847325156670812*x1)**4)**2 + 18.786692047411589*cos(0.5281342977846168*x1 + 4.471772135634299) - 17.937082934195033],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
256,0.9899869327518168,0.0001022999311506,[-1.834387359460893*cos(1.515734129252624*(1 - 0.7085420618955155*x1)**4) + 18.7707410566916*cos(0.52852262343438596*x1 + 4.4709440597982499) - 19.756882881492485],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
866,0.989986933451486,0.0001022999167095,[-1.8341269352970014*cos(1.5159993511744558*(1 - 0.70852677298990865*x1)**4) + 18.7744055604885*cos(0.5284330827981248*x1 + 4.471135036170466) - 19.75999459434869],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
182,0.9899874931559464,0.0001022883647682,[2.8718912893641204*(0.06209967804929289 - sin(0.5998700105534107*x1 + 1.56322040963134)**4)*(x1**4 + 3.4285830715908134) - 2.8718912893641204*sin(1.7185521945402058*x1 + 1.9710107605312648) - 12.450228574557175],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-11-150441
880,0.9899892296156084,0.000102252529588,[25.46915285507987*(0.4451397474133671*(1.691345562379859 - x1)/(x1 + (sin(1.2052257626121034*(1 - 0.9108897115355347*x1)**2 - 0.5087756536567587) + 0.07561218433903243)**2 + 3.6140397375906157) - 1)**4 - 35.75689927334852],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164805
279,0.989991197309888,0.0001022119301772,[1.2052071658093012*(0.9969774491283475 - sin(0.5932779497399532*x1**2 - 1.2132299973656084))**2 - 13.856083676885838*(1 - 0.45458947562520771*sin(0.9754718925698832*x1 + 4.907061394747876))**2],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164736
330,0.989992603271624,0.0001021829260237,[16.39487866444717 + 0.0055512531927184025/(0.95387478814355529*sin(x1 + 1.6618624006229694) + 1)**2 - 68.692880349959064/(x1 + 3.1992341403094864/(x1 + 1.902229677384788))],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164805
281,0.9899954830370524,0.000102123531283,[(3.0170980500923363 - x1)*(x1*sin(1.0707541264081911*(1 - 0.63249528019134962*x1)**4*(-x1 - 2.5933505190761106) + 0.20980132314405717) - 8.149447854583261)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164805
979,0.9899964363896452,0.0001021038724056,[8.751084868098395 + 0.25749270524228524/(cos(1.954946179844366*x1 - 2.826398857136752) + 1.0863914272942976) - 4.701087681101014/(0.01961779248562375*(x1 + 0.83234163223677462)**2 + 0.1210340929711768)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
257,0.9899970472043595,0.0001020912779422,[-(2.0521004732389896 - x1)*(7.5643451883068735 - sin(1.900903866901062*(1 - 0.9659930025896904*x1)**2 - 2.1645420548730431)) - sin(1.4891408718036639*(1 - 0.66611755362642373*x1)**2) - 7.204452825879398],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-06-162444
781,0.9899975299410152,0.0001020813248965,[-6.228339251859962*(0.6330047004894242*cos(0.25737167035774433*x1 + 0.53498426881109128) + 1)**4 + 11.369263310146989 + cos(x1 + 1.663187475840754)/(cos(2.4664789003371946*x1 - 3.5576546889961029) + 1.252249681149703)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
114,0.9900003564171708,0.0001020230586525,[4.4319083993246045*x1 - 13.139533851738333 - 21.856608933520494/(x1*(x1 + 0.0004081174085597404*(0.3907252925586897*(1 - 0.4015856144732827*x1**2)**4 - 1)**4) + 1.902802553906215)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
137,0.9900006039735408,0.0001020179562227,[7.370013284305567*(0.46096110659101837*x1**2 + 1)**4*(0.25510835296649749*x1 - 0.07984616098126811*cos(4.248948755220029*(1 - 0.48513125280653*x1)**2 - 1.9103644229118022) - 1)**4 - 30.070774132369934],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
539,0.990002297870784,0.0001019830464882,[(0.7541193508413523 - 0.2496571380006544*x1)*(x1**2 - 0.89390031417711393*x1/(sin(1.2172396364272138*x1 + 2.9746666257067054)**2 + 0.13495828804597476) - 32.28496061617293)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164736
371,0.9900028371281292,0.0001019719341466,[9.009062024094773*x1*(0.11272242278436083*((0.09742566762497717 - cos(x1))**3 - 0.46192243112224635)**3 + 1)**2 + 0.59708644393560212*(0.87266950052378008 - x1)**3 - 24.892457736596814],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-09-162348
183,0.9900030855839304,0.0001019668144877,[7.8877506397946857*x1 - 7.1999047798001539*(-x1*(sin(x1 + 5.939405273005844) - 1.7076975523292854)*sin(x1) - sin(x1) - 0.3405839115094847)**2 - 23.589780584102543],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-11-150408
159,0.9900036539884176,0.0001019551024867,[78.18385351137283/(cos(x1 + 0.6672162798156207) - (cos(1.8059585286939088*x1*(0.6513115906747088*x1 - 1)**2) + 5.424152088712034)/(cos(0.740501268740303*x1) + 0.617106085969503))],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
133,0.9900052508361484,0.0001019222030358,[1.1632942251835063 - 9.146500823672833/(x1 + 12.052771074580359*(0.02161461979097853*x1**4 + 0.5366958943952962*sin(0.17510134795033933*(-0.86993550135762872*x1 - 1)**2 + 0.7280592632808452) - 1)**4 - 0.9930249229767883)],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-11-150441
155,0.9900065007053496,0.000101896456074,[9.7666651403501642*(0.51314746240384012 - (0.56567036311063461*x1 - 1)**2)**2 + (8.446080881516204 - 0.76855901327436792*(1 - 0.54678708181399082*(x1 - 0.7428459873398844)**2)**4)*(x1 - 3.2159488512668064)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164805
20,0.9900065394275904,0.0001018956584595,[5.514972601400529*x1 - ((x1 - 0.07701779227953472)**2 + 6.4761302573653556*sin(x1 + 1.710833706294008))*sin(1.0386130667118879*(0.98123517653502038*x1 - 1)**2 + 1.0471901717071181) - 18.65313408981123],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
469,0.9900065797723994,0.0001018948274261,[10.321060336858759 - 9.025006262503915/(sin(0.2629165191597807*x1 - 1.350019945556577) + 1.2229987538005784) + 0.2587694801914019/(1.086619866977896 - sin(1.9550379662977175*x1 + 1.8854304739647703))],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-11-150441
54,0.9900079826583206,0.000101865932549,[8.968195329323699 - 20050.683769662664/(x1 + 213.2336182242561*(0.06848132614371337*x1 - (0.2616893695657379*x1 + 1)**2)**2 + 398.9637655468146) - 67.5416969740777/(tan(x1 - 4.621973176997816)**2 + 23.828839410737544)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165954
65,0.9900080762290904,0.0001018640054448,[0.068098996080849608*(x1 - 1.0636807630512399)/(-cos(x1 + 1.3723171759778368)**4 - 0.16058056790882826)**2 + 8.7551418681425276*cos(x1 + 3.366019806145458) - 13.236169681494289],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
180,0.9900091982013604,0.000101840899704,[21.060963588367681*(0.025050595482093774*(0.3448490597925265*cos(0.6034708027712609*x1**2 + 6.533124115774032) + 1)**4 + cos(0.4078036593291735*x1 + 5.1956221169444685))**4 - 26.448892248432482],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164701
931,0.9900100444870052,0.0001018234731838,[8.0359210355136321*x1 + 0.64867491875554111*sin((0.4748209884784404*x1 - 0.3876623793860098)*(x1**2*(x1 - 3.035999283234145) + 7.877093267817445)) - 24.557384474892576],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164805
495,0.9900105802386208,0.0001018124418954,[x1 + 28.239177267907741*(0.1145219083224328*x1 + (0.0087698719953075346*sin(x1 + 2.5589617148268853*(1 - 0.73247921595631758*x1)**3 - 2.624351780601401) - 1)**3)**3 + 4.144086293850292],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-06-162444
450,0.9900126439518936,0.0001017699551086,[77.1779336285862*(sin(0.5563092742710752*x1 + 1.9527433591020087) + 0.46728086366069477)/(sin(x1**2 + 6.2652052119920085*(0.14573076332843319*x1**2 - 1)**2) - 4.379578741066373)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164736
513,0.9900148351078566,0.0001017248544888,[0.597599809138511 - 174.5753710420535/(3.787065043629079*x1**2 + sin(x1**2 + 1.5471463216676387) + 6.075267282851183 + 0.00010982204730930674/(0.27998959952496194*x1 - 1)**8)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164736
22,0.9900158481899632,0.0001017040056402,[-x1*(2.4486246857912739*(-0.63905595808515874*x1 + 1 - 0.028556028980281246/(cos(x1 + 1.5665000388490586)**3 - 0.047645496273043896))**2 - 8.378535493778715) - 24.314524060213476],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-09-162348
908,0.9900159093234956,0.0001017027476048,[-(1.352742494905436*x1 + 2.5230562283167304)*(8.1518538290229009*(1 - 0.35024489032047797*x1)**2 - 0.20499162925703744*(0.3997863817711216*cos((0.8493112944810924 - x1)**2 + 7.457449662970305) + 1)**4) - 4.318050964676737],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
498,0.990016628981413,0.000101687938733,[(-0.007404689565456757 + 2.0147283317573215/(46.564465033455913*(0.38281270728593018*x1 - 1)**4 + 0.027965284237107993))*(2.9976393281686406 - x1)*(101.70069240170603*(0.31489736210893734*x1 - 1)**4*(x1 - 2.2516843797754196) - 0.18490190263708545)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
353,0.9900177496419624,0.0001016648803574,[(6.1710306432053831*(1 - 0.40255122123120229*x1)**2/(cos(1.046711102309261*x1) + 1.0327325811100605) - 7.860153590838333)*(20.959170691139569*(0.46736531262385211*cos(0.2225757775955289*x1 + 8.40024876955519) + 1)**4 - 1.8140547288669693)],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
